Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
BAL,2024,1781.94,43.1511,10.5159,0,6.3018,0.1863,0.3325,0.103777,0.0215,0.0045,-0.11665,0.1648,30.0526,21.1579,8.8947,13,13.2377,12.3142,13
DET,2024,1735.27,27.5373,8.64903,0,5.53132,0.1706,0.2562,0.0378555,-0.0265,-0.0577,-0.0157102,0.1971,33.0556,21.5,11.5556,15,13.2275,12.4417,16
PHI,2024,1711.34,3.2932,7.69187,1.74355,7.15094,0.111,0.1479,0.0808176,-0.0928,-0.1084,-0.117191,0.2038,28.9524,18.0952,10.8571,18,15.81,13.2864,15
BUF,2024,1695.14,27.423,7.04388,0,2.41738,0.1857,0.2549,0.0973198,0.0099,0.0652,-0.0747704,0.1758,30.6,21.6,9,15,13.908,13.7286,11
DEN,2024,1659.29,39.3647,5.60983,0,8.95976,0.026,0.0324,-0.0328018,-0.0713,-0.1035,-0.0992789,0.0973,24,19,5,10,11.4297,8.96083,11
GB,2024,1634.51,-6.775,4.61835,0,2.98089,0.076,0.122,0.00912193,-0.0504,-0.0604,-0.0790691,0.1264,26.1111,20,6.1111,11,11.7526,10.6099,8
KC,2024,1626.31,16.2141,4.29031,1.34927,-1.30601,0.061,0.0882,-0.00245096,0.0139,0.0696,-0.0344761,0.0471,23.1,20.45,2.65,17,11.434,14.5173,13
LAC,2024,1624.07,14.5642,4.20095,0,6.20302,0.0232,0.0543,-0.0615606,-0.0699,-0.08,-0.0686461,0.093,23,18.5,4.5,11,11.2718,9.37053,12
CIN,2024,1617.08,38.3564,3.92137,0,1.7206,0.1173,0.1525,-0.0249703,0.0725,0.041,0.0157217,0.0448,27.7647,25.5294,2.2353,9,9.3427,8.85383,8
MIN,2024,1610.35,10.6549,3.6523,0,4.85298,0.0103,0.0226,-0.0679919,-0.0909,-0.0455,-0.159888,0.1013,24.5,19.9444,4.5556,14,11.1516,10.8361,13
WAS,2024,1599.8,36.3812,3.2303,0,8.04575,0.1482,0.1483,0.100921,0.0779,0.0583,0.00228313,0.0703,28.8,24.85,3.95,14,11.7305,8.81049,10
TB,2024,1581.23,41.1344,2.48733,0,3.4315,0.133,0.204,0.0234498,0.0169,0.0623,-0.0529915,0.1161,29,22.6667,6.3333,10,11.5556,10.3865,10
LAR,2024,1562.77,0.6564,1.74897,0,-0.0168165,0.0199,0.0687,-0.0897328,0.0295,0.0157,0.0164099,-0.0095,21.8947,22.2632,-0.3684,11,9.3122,8.80084,6
HOU,2024,1541.8,-21.9458,0.910039,0,0.251162,-0.0238,-0.0401,-0.0726148,-0.0386,-0.0993,-0.084133,0.0148,22,21.4211,0.5789,11,9.8001,9.57879,11
PIT,2024,1531.36,8.0367,0.492524,0,0.433911,0.0122,0.0067,-0.0932858,-0.0149,0.0309,-0.0626665,0.0271,21.8889,20.8333,1.0556,10,9.5265,9.91247,12
SEA,2024,1528.47,-6.7663,0.37687,0,0.0881006,-0.013,-0.0173,-0.0535215,-0.0135,-0.0055,-0.0359088,0.0006,22.0588,21.6471,0.4118,10,8.6898,8.38426,9
ATL,2024,1509.63,-34.337,-0.37687,0,0.58333,0.0148,0.0516,0.000258379,0.0573,0.1044,0.00730521,-0.0425,22.8824,24.8824,-2,8,7.6588,7.53075,11
ARI,2024,1501.97,11.9818,-0.683047,0,2.81543,0.0822,0.0802,0.0463973,0.0639,0.0677,0.0318788,0.0183,23.5294,22.2941,1.2353,8,9.0425,6.6011,8
MIA,2024,1482.06,-60.935,-1.47934,0,-3.99292,-0.0189,0.0667,-0.185991,-0.0033,0.0088,-0.0662364,-0.0156,20.2941,21.4118,-1.1176,8,7.9607,9.43784,9
SF,2024,1473.11,-63.8226,-1.83761,0,-7.09888,0.0309,0.1184,-0.00276407,0.0828,0.0222,0.0394734,-0.0519,22.8824,25.6471,-2.7647,6,7.358,10.355,8
IND,2024,1459.33,8.2359,-2.38862,0,0.258569,-0.0471,-0.077,-0.0426665,0.0111,0.0797,-0.0919462,-0.0582,22.1765,25.1176,-2.9412,8,7.2546,7.58118,10
NYJ,2024,1454.63,-5.7944,-2.5768,0,-2.75007,-0.0056,0.0143,-0.0654343,0.0634,0.0418,-0.00135758,-0.069,19.8824,23.7647,-3.8824,5,6.7297,7.03053,8
CHI,2024,1453.14,-8.8959,-2.63642,0,-0.447134,-0.0674,-0.1076,-0.0635118,0.0144,0.0042,0.00239605,-0.0818,18.2353,21.7647,-3.5294,5,6.7435,6.97501,7
