Team,Season,nfelo,QB Adj,Value,WoW,YTD,Play,Pass,Rush,Play,Pass,Rush,Play,For,Against,Dif,Wins,Pythag,Elo,Film
LAR,2025,1682.99,22.9052,7.59804,-1.18884,6.5339,0.1193,0.2247,-0.00997425,-0.0643,-0.0875,-0.0430814,0.1836,30.0625,20.375,9.6875,11,11.4467,11.1145,15
SEA,2025,1675.22,-11.2292,7.28737,0.0353956,7.35414,0.0671,0.1133,-0.0730886,-0.1486,-0.0888,-0.152505,0.2158,29.375,18.0625,11.3125,13,12.1596,10.7989,14
SF,2025,1648.63,25.7293,6.22362,0.155181,5.40269,0.1315,0.1974,-0.0361705,0.0397,0.1112,-0.00519773,0.0918,27.125,22.375,4.75,12,9.794,9.30441,10
PHI,2025,1624.49,-7.3047,5.25799,-0.103364,0.634419,0.0226,0.0633,-0.0229169,-0.0533,-0.1451,-0.0242107,0.0759,22.625,18.8125,3.8125,11,9.722,11.8182,12
BUF,2025,1606.38,-3.0739,4.53373,-0.309438,0.254194,0.1423,0.1359,0.0842754,0.0447,-0.1145,0.110274,0.0976,27.875,22.3125,5.5625,11,10.0625,11.7737,9
DET,2025,1600.22,-0.9129,4.28729,-1.01188,-0.237187,0.0863,0.1736,-0.0584506,0.0193,-0.0048,-0.0314732,0.067,28.875,24.8125,4.0625,8,9.4222,10.4144,9
NE,2025,1590.54,31.7862,3.90018,0.883057,6.96209,0.1343,0.3093,-0.0459674,-0.0315,-0.0426,-0.022712,0.1658,28.25,19.375,8.875,13,11.3546,9.80839,10
HOU,2025,1583.54,4.7545,3.62005,0.395537,3.79747,-0.012,0.0429,-0.102426,-0.1567,-0.2126,-0.0504986,0.1446,22.875,16.5625,6.3125,11,10.92,9.74244,11
CHI,2025,1580.86,24.5485,3.51291,0.533828,4.87201,0.0706,0.0906,0.066728,0.0301,0.0159,-0.000283656,0.0405,26.5625,24.75,1.8125,11,8.6684,7.45488,10
JAX,2025,1578.26,21.5948,3.40869,0.564888,5.33979,0.0568,0.0418,-0.0120576,-0.0637,-0.1234,-0.0590098,0.1204,27.0625,20.5625,6.5,12,10.5157,8.4755,11
DEN,2025,1568.02,13.0654,2.99925,0.254199,1.49654,0.0491,0.1004,-0.0110581,-0.024,-0.0825,-0.0536783,0.0731,23.875,19.25,4.625,13,9.9981,11.3338,13
LAC,2025,1539.36,-9.8254,1.85295,-0.507783,1.20274,0.0095,-0.0066,-0.0216477,-0.0434,-0.0907,-0.0748331,0.0529,22.8125,20.0625,2.75,11,9.2084,9.64258,8
BAL,2025,1531.4,-60.0249,1.53428,0.703096,-4.79812,0.0554,-0.0627,0.0917782,0.0294,0.0692,-0.0786733,0.026,25,23.25,1.75,8,8.6863,10.0622,9
GB,2025,1511.12,-54.3049,0.723096,0.285479,-1.29926,0.1409,0.2749,-0.0269227,0.0761,0.0816,-0.0164026,0.0648,24.25,21.5,2.75,9,9.1334,10.2936,10
CIN,2025,1503.69,6.9529,0.425879,0.4598,-1.19287,0.057,-0.0095,0.00591454,0.1413,0.2009,0.0630368,-0.0843,24.75,29.5,-4.75,6,6.3593,8.04823,7
PIT,2025,1494.82,-3.235,0.0714355,-1.36242,0.00467286,0.0446,0.0184,0.0177192,0.0274,0.0161,-0.00695651,0.0172,23.1875,22.6875,0.5,9,8.2066,8.93075,8
DAL,2025,1491.25,9.9134,-0.0714404,0.281841,0.970317,0.1428,0.1869,-0.0199831,0.1825,0.23,0.0787572,-0.0398,28.375,29.8125,-1.4375,7,7.532,7.75337,7
ATL,2025,1487.59,28.1524,-0.217837,0.487944,0.837827,-0.0138,-0.002,-0.0197524,0.0467,-0.0214,0.0233255,-0.0605,20.875,24,-3.125,7,6.6894,7.20366,11
IND,2025,1467.88,6.4011,-1.00625,-1.04017,2.05035,0.1183,0.0667,0.0892678,0.0358,0.0475,-0.0678998,0.0825,27.25,23.375,3.875,8,9.4383,8.41148,9
TB,2025,1438.73,-16.2357,-2.1723,-0.171758,-2.44516,-0.0009,-0.0421,0.0167239,0.032,0.0657,-0.0649252,-0.0329,22.75,24.8125,-2.0625,7,7.1802,9.4059,6
MIN,2025,1434.83,-52.5664,-2.32823,0.0603759,-2.95658,-0.1039,-0.2302,-0.0214178,-0.0887,-0.1381,-0.0679704,-0.0152,20.5,20.625,-0.125,8,7.9424,8.61447,6
NYG,2025,1430.72,-11.9614,-2.49288,2.69398,2.15845,0.0224,-0.0269,0.0281786,0.1008,0.0426,0.139866,-0.0784,21.6875,26.375,-4.6875,3,6.1775,4.76729,4
KC,2025,1423.86,-118.471,-2.76719,-0.118076,-5.96063,0.0803,0.0854,0.0365612,0.0473,0.0319,-0.0320944,0.033,21.875,19.625,2.25,6,9.0233,10.2791,8
NO,2025,1420.31,10.8235,-2.90928,1.62882,2.91226,-0.1186,-0.0773,-0.123864,-0.0274,-0.0407,-0.0832532,-0.0913,18.0625,22.75,-4.6875,6,5.8656,6.2469,6
CAR,2025,1394.9,7.2632,-3.92539,-0.679741,1.54929,-0.0204,-0.0705,-0.0266662,0.0661,0.1021,0.0129457,-0.0865,18.5625,22.75,-4.1875,8,6.1081,6.54834,5
CLE,2025,1385.6,-26.7378,-4.29739,1.11972,0.201846,-0.2148,-0.3075,-0.0634309,-0.0908,-0.1301,-0.0833095,-0.124,16.1875,22.5625,-6.375,4,5.0052,5.47541,7
MIA,2025,1359,-75.9449,-5.36158,0.390572,-5.14035,0.0289,0.0123,-0.0095833,0.0812,0.1225,0.0118261,-0.0524,21.0625,24.125,-3.0625,7,6.724,7.65756,9
ARI,2025,1334.64,-35.921,-6.33581,-0.585054,-6.55185,-0.0301,0.001,-0.0628083,0.1078,0.1392,-0.0140122,-0.1379,20.9375,28.1875,-7.25,3,5.2924,7.00734,3
TEN,2025,1331.15,2.6026,-6.4756,-1.27962,-1.73197,-0.1319,-0.2192,-0.0730734,0.0704,0.1648,-0.0240294,-0.2023,17.3125,27.3125,-10,3,4.0545,4.11744,2
WAS,2025,1317.46,-103.782,-7.02312,-0.244702,-8.79151,0.0307,-0.0242,0.0278084,0.1519,0.2451,0.0539869,-0.1212,20.75,27.125,-6.375,4,5.5422,8.07542,4
OAK,2025,1285.17,-9.4312,-8.31476,-2.21747,-5.89482,-0.1862,-0.1851,-0.24744,0.0607,0.1326,-0.0636002,-0.2469,14.1875,26.25,-12.0625,2,3.0197,5.46463,3
NYJ,2025,1222.2,-76.9274,-10.8334,-0.479556,-7.85125,-0.0626,-0.1986,-0.0578676,0.149,0.2362,0.0090552,-0.2116,18.25,29.25,-11,3,3.9422,5.95531,3
